Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2025-07-11,3540.0,3582.0,3499.0,3558.0,3508.50927734375,2093500,0.0,0.0
2025-07-14,3530.0,3544.0,3481.0,3481.0,3432.580322265625,1504500,0.0,0.0
2025-07-15,3478.0,3481.0,3437.0,3448.0,3400.039306640625,1449100,0.0,0.0
2025-07-16,3435.0,3460.0,3413.0,3436.0,3388.206298828125,1044400,0.0,0.0
2025-07-17,3403.0,3408.0,3376.0,3400.0,3352.70703125,1387000,0.0,0.0
2025-07-18,3411.0,3435.0,3400.0,3427.0,3379.33154296875,1159000,0.0,0.0
2025-07-22,3481.0,3544.0,3463.0,3544.0,3494.7041015625,2727500,0.0,0.0
2025-07-23,3563.0,3600.0,3551.0,3570.0,3520.34228515625,2997800,0.0,0.0
2025-07-24,3599.0,3641.0,3587.0,3626.0,3575.5634765625,1797600,0.0,0.0
2025-07-25,3578.0,3580.0,3505.0,3515.0,3466.107421875,1797000,0.0,0.0
2025-07-28,3508.0,3533.0,3470.0,3494.0,3445.3994140625,1300700,0.0,0.0
2025-07-29,3450.0,3464.0,3420.0,3445.0,3397.0810546875,1569600,0.0,0.0
2025-07-30,3430.0,3474.0,3421.0,3466.0,3417.7890625,1021600,0.0,0.0
2025-07-31,3338.0,3391.0,3309.0,3355.0,3308.3330078125,4467700,0.0,0.0
2025-08-01,3422.0,3434.0,3375.0,3385.0,3337.915771484375,2672000,0.0,0.0
2025-08-04,3370.0,3447.0,3357.0,3447.0,3399.05322265625,2334200,0.0,0.0
2025-08-05,3447.0,3533.0,3410.0,3513.0,3464.13525390625,2069500,0.0,0.0
2025-08-06,3510.0,3562.0,3492.0,3550.0,3500.62060546875,1870400,0.0,0.0
2025-08-07,3560.0,3800.0,3523.0,3663.0,3612.048828125,3460800,0.0,0.0
2025-08-08,3670.0,3713.0,3608.0,3646.0,3595.28515625,2618300,0.0,0.0
2025-08-12,3625.0,3674.0,3612.0,3660.0,3609.090576171875,2346100,0.0,0.0
2025-08-13,3700.0,3712.0,3616.0,3624.0,3573.59130859375,2003600,0.0,0.0
2025-08-14,3613.0,3645.0,3565.0,3596.0,3545.980712890625,2167200,0.0,0.0
2025-08-15,3565.0,3693.0,3563.0,3690.0,3638.673095703125,2092500,0.0,0.0
2025-08-18,3760.0,3833.0,3750.0,3788.0,3735.31005859375,2838400,0.0,0.0
2025-08-19,3767.0,3788.0,3741.0,3757.0,3704.7412109375,1394700,0.0,0.0
2025-08-20,3728.0,3769.0,3715.0,3726.0,3674.17236328125,1286300,0.0,0.0
2025-08-21,3750.0,3802.0,3734.0,3754.0,3701.782958984375,1453500,0.0,0.0
2025-08-22,3779.0,3823.0,3735.0,3767.0,3714.60205078125,1511100,0.0,0.0
2025-08-25,3877.0,3965.0,3876.0,3946.0,3891.1123046875,3823100,0.0,0.0
2025-08-26,3948.0,4002.0,3894.0,3956.0,3900.97314453125,3226100,0.0,0.0
2025-08-27,3964.0,4018.0,3916.0,4011.0,3955.208251953125,2462100,0.0,0.0
2025-08-28,3972.0,4060.0,3961.0,4044.0,3987.749267578125,2309100,0.0,0.0
2025-08-29,4080.0,4099.0,3997.0,4035.0,3978.874267578125,2048200,0.0,0.0
2025-09-01,4035.0,4089.0,3958.0,4019.0,3963.096923828125,2332400,0.0,0.0
2025-09-02,4040.0,4150.0,4021.0,4147.0,4089.31640625,2460700,0.0,0.0
2025-09-03,4215.0,4307.0,4160.0,4181.0,4122.84375,3935100,0.0,0.0
2025-09-04,4180.0,4260.0,4152.0,4207.0,4148.48193359375,2376600,0.0,0.0
2025-09-05,4207.0,4252.0,4151.0,4194.0,4135.66259765625,1580200,0.0,0.0
2025-09-08,4262.0,4312.0,4222.0,4264.0,4204.68896484375,2233300,0.0,0.0
2025-09-09,4297.0,4319.0,4184.0,4224.0,4165.24560546875,2124900,0.0,0.0
2025-09-10,4170.0,4229.0,4155.0,4209.0,4150.4541015625,1528400,0.0,0.0
2025-09-11,4203.0,4333.0,4191.0,4288.0,4228.35498046875,2409200,0.0,0.0
2025-09-12,4353.0,4359.0,4292.0,4331.0,4270.75732421875,1877600,0.0,0.0
2025-09-16,4360.0,4415.0,4334.0,4415.0,4353.5888671875,2033600,0.0,0.0
2025-09-17,4448.0,4477.0,4327.0,4327.0,4266.8125,2386900,0.0,0.0
2025-09-18,4335.0,4378.0,4302.0,4320.0,4259.91015625,1723400,0.0,0.0
2025-09-19,4321.0,4338.0,4130.0,4150.0,4092.274658203125,4110700,0.0,0.0
2025-09-22,4207.0,4269.0,4191.0,4258.0,4198.7724609375,1914200,0.0,0.0
2025-09-24,4318.0,4345.0,4241.0,4329.0,4268.78515625,1459900,0.0,0.0
2025-09-25,4539.0,4853.0,4510.0,4818.0,4750.98291015625,7903900,0.0,0.0
2025-09-26,4770.0,4772.0,4656.0,4673.0,4608.0,3081300,0.0,0.0
2025-09-29,4660.0,4797.0,4605.0,4730.0,4730.0,3259200,65.0,0.0
2025-09-30,4800.0,4830.0,4714.0,4767.0,4767.0,2782000,0.0,0.0
2025-10-01,4762.0,4819.0,4659.0,4690.0,4690.0,2686100,0.0,0.0
2025-10-02,4883.0,4993.0,4830.0,4926.0,4926.0,3731800,0.0,0.0
2025-10-03,4848.0,4915.0,4836.0,4905.0,4905.0,1874100,0.0,0.0
2025-10-06,5023.0,5055.0,4905.0,4963.0,4963.0,2404700,0.0,0.0
2025-10-07,5004.0,5067.0,4860.0,4877.0,4877.0,2587500,0.0,0.0
2025-10-08,4927.0,5149.0,4853.0,5133.0,5133.0,4256700,0.0,0.0
2025-10-09,5221.0,5306.0,5148.0,5242.0,5242.0,4512000,0.0,0.0
2025-10-10,5192.0,5200.0,4993.0,5018.0,5018.0,3641100,0.0,0.0
2025-10-14,5100.0,5366.0,5061.0,5100.0,5100.0,6253100,0.0,0.0
2025-10-15,5259.0,5346.0,5207.0,5279.0,5279.0,3616400,0.0,0.0
2025-10-16,5362.0,5390.0,5292.0,5321.0,5321.0,2929100,0.0,0.0
2025-10-17,5301.0,5550.0,5278.0,5448.0,5448.0,4440000,0.0,0.0
