Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2025-07-11,4720.0,4727.0,4671.0,4695.0,4643.18115234375,6152000,0.0,0.0
2025-07-14,4649.0,4699.0,4649.0,4657.0,4605.6005859375,4314100,0.0,0.0
2025-07-15,4661.0,4669.0,4623.0,4637.0,4585.8212890625,4244800,0.0,0.0
2025-07-16,4669.0,4682.0,4612.0,4614.0,4563.0751953125,4991500,0.0,0.0
2025-07-17,4601.0,4673.0,4592.0,4662.0,4610.54541015625,4269000,0.0,0.0
2025-07-18,4670.0,4695.0,4660.0,4681.0,4629.33544921875,3985900,0.0,0.0
2025-07-22,4731.0,4770.0,4694.0,4737.0,4684.71728515625,6061900,0.0,0.0
2025-07-23,4880.0,4952.0,4802.0,4913.0,4858.77490234375,12927200,0.0,0.0
2025-07-24,5053.0,5056.0,4952.0,5003.0,4947.78173828125,8901700,0.0,0.0
2025-07-25,4525.0,4577.0,4472.0,4530.0,4480.001953125,38386500,0.0,0.0
2025-07-28,4545.0,4560.0,4475.0,4480.0,4430.55419921875,11478100,0.0,0.0
2025-07-29,4424.0,4456.0,4378.0,4392.0,4343.525390625,12216700,0.0,0.0
2025-07-30,4392.0,4420.0,4378.0,4392.0,4343.525390625,7133300,0.0,0.0
2025-07-31,4381.0,4403.0,4369.0,4395.0,4346.4921875,8361000,0.0,0.0
2025-08-01,4395.0,4403.0,4355.0,4365.0,4316.8232421875,8159600,0.0,0.0
2025-08-04,4280.0,4346.0,4280.0,4346.0,4298.033203125,7602000,0.0,0.0
2025-08-05,4346.0,4363.0,4322.0,4335.0,4287.154296875,5775000,0.0,0.0
2025-08-06,4335.0,4386.0,4334.0,4379.0,4330.6689453125,6291400,0.0,0.0
2025-08-07,4370.0,4424.0,4358.0,4422.0,4373.1943359375,5717700,0.0,0.0
2025-08-08,4422.0,4447.0,4377.0,4439.0,4390.00634765625,7420600,0.0,0.0
2025-08-12,4439.0,4507.0,4422.0,4463.0,4413.74169921875,7867700,0.0,0.0
2025-08-13,4463.0,4536.0,4432.0,4525.0,4475.05712890625,8115500,0.0,0.0
2025-08-14,4545.0,4615.0,4537.0,4558.0,4507.693359375,9054500,0.0,0.0
2025-08-15,4570.0,4640.0,4556.0,4628.0,4576.92041015625,6320000,0.0,0.0
2025-08-18,4645.0,4670.0,4621.0,4640.0,4588.7880859375,5249400,0.0,0.0
2025-08-19,4623.0,4662.0,4614.0,4639.0,4587.79931640625,4890800,0.0,0.0
2025-08-20,4588.0,4653.0,4578.0,4627.0,4575.931640625,4878500,0.0,0.0
2025-08-21,4599.0,4640.0,4584.0,4604.0,4553.185546875,4778500,0.0,0.0
2025-08-22,4545.0,4568.0,4490.0,4509.0,4459.23388671875,7894500,0.0,0.0
2025-08-25,4567.0,4657.0,4560.0,4651.0,4599.66650390625,7715500,0.0,0.0
2025-08-26,4590.0,4670.0,4581.0,4623.0,4571.9755859375,16349900,0.0,0.0
2025-08-27,4600.0,4614.0,4576.0,4593.0,4542.306640625,4692100,0.0,0.0
2025-08-28,4582.0,4611.0,4566.0,4597.0,4546.2626953125,6058600,0.0,0.0
2025-08-29,4595.0,4601.0,4557.0,4557.0,4506.7041015625,4386900,0.0,0.0
2025-09-01,4550.0,4559.0,4502.0,4529.0,4479.01318359375,4515200,0.0,0.0
2025-09-02,4545.0,4573.0,4518.0,4518.0,4468.134765625,4370600,0.0,0.0
2025-09-03,4491.0,4515.0,4465.0,4465.0,4415.7197265625,7239700,0.0,0.0
2025-09-04,4438.0,4448.0,4408.0,4421.0,4372.205078125,5886900,0.0,0.0
2025-09-05,4416.0,4431.0,4398.0,4403.0,4354.40380859375,7827900,0.0,0.0
2025-09-08,4448.0,4463.0,4419.0,4437.0,4388.02880859375,6028500,0.0,0.0
2025-09-09,4449.0,4467.0,4415.0,4420.0,4371.21630859375,4528100,0.0,0.0
2025-09-10,4400.0,4414.0,4378.0,4409.0,4360.33740234375,6646400,0.0,0.0
2025-09-11,4409.0,4432.0,4390.0,4413.0,4364.29345703125,7300300,0.0,0.0
2025-09-12,4451.0,4453.0,4408.0,4416.0,4367.26025390625,8829400,0.0,0.0
2025-09-16,4416.0,4539.0,4412.0,4537.0,4486.9248046875,10258000,0.0,0.0
2025-09-17,4528.0,4561.0,4512.0,4545.0,4494.83642578125,6018000,0.0,0.0
2025-09-18,4534.0,4604.0,4516.0,4590.0,4539.33984375,5574600,0.0,0.0
2025-09-19,4660.0,4785.0,4590.0,4632.0,4580.87646484375,21108700,0.0,0.0
2025-09-22,4618.0,4736.0,4611.0,4714.0,4661.97119140625,7109000,0.0,0.0
2025-09-24,4667.0,4770.0,4656.0,4737.0,4684.71728515625,7463000,0.0,0.0
2025-09-25,4776.0,4779.0,4712.0,4760.0,4707.4638671875,7823800,0.0,0.0
2025-09-26,4758.0,4842.0,4748.0,4802.0,4749.0,9733200,0.0,0.0
2025-09-29,4798.0,4808.0,4742.0,4778.0,4778.0,6575700,53.0,0.0
2025-09-30,4826.0,4862.0,4770.0,4853.0,4853.0,8746000,0.0,0.0
2025-10-01,4830.0,4864.0,4712.0,4837.0,4837.0,7225900,0.0,0.0
2025-10-02,4860.0,4909.0,4824.0,4874.0,4874.0,7341500,0.0,0.0
2025-10-03,4884.0,5046.0,4883.0,5031.0,5031.0,10548800,0.0,0.0
2025-10-06,5258.0,5258.0,5115.0,5185.0,5185.0,10358600,0.0,0.0
2025-10-07,5212.0,5263.0,5185.0,5205.0,5205.0,8526000,0.0,0.0
2025-10-08,5179.0,5186.0,5090.0,5090.0,5090.0,7531000,0.0,0.0
2025-10-09,5127.0,5152.0,5101.0,5138.0,5138.0,5507900,0.0,0.0
2025-10-10,5140.0,5154.0,5009.0,5020.0,5020.0,7367400,0.0,0.0
2025-10-14,4933.0,5089.0,4924.0,5017.0,5017.0,10273900,0.0,0.0
2025-10-15,5045.0,5053.0,4972.0,4994.0,4994.0,5916900,0.0,0.0
2025-10-16,5017.0,5029.0,4957.0,4977.0,4977.0,5169400,0.0,0.0
2025-10-17,4920.0,4958.0,4879.0,4897.0,4897.0,5716000,0.0,0.0
