ticker,stress_v,shk_act,shk_F,shk_stat,zscore,signal,dahs_v,regime_v,close,vwap20,vp_poc,pct_1d,rsi,rsi_zone,atr14,ema10,ema20,slope10,slope20,sma50,sma200,rvol20,bb_2sigma_up,bb_2sigma_dn,reason,shk_R,name
2914.T,0.3722,hold,NORMAL,OK,1.345,BUY,4,0.0,5917.0,5533.29,4908.5,0.012,87.22,overbought,95.57,5850.33,5812.7,0.225,0.056,5152.08,4506.75,0.706,5954.62,5626.88,ema10>ema20 & slopes>0 & rsi>=45 & close>=ema20,no_shock,JT
8058.T,0.1691,hold,NORMAL,OK,0.701,BUY,4,0.0,3691.0,3647.68,3571.23,0.0019,66.91,neutral,71.5,3688.78,3675.91,0.125,0.051,3603.98,3022.16,0.376,3725.11,3614.79,ema10>ema20 & slopes>0 & rsi>=45 & close>=ema20,no_shock,三菱商事
LITE,0.082,hold,NORMAL,OK,1.985,BUY,4,0.0,308.26,245.15,166.17,0.0584,58.2,neutral,27.52,301.51,293.08,0.538,0.659,197.47,115.25,0.591,311.74,279.84,ema10>ema20 & slopes>0 & rsi>=45 & close>=ema20,no_shock,LITE
NBIS,0.0902,hold,NORMAL,OK,-0.419,BUY,4,0.0,94.68,97.01,95.3,0.0654,56.54,neutral,10.16,92.62,91.35,0.361,0.208,110.13,60.81,0.516,95.74,86.53,ema10>ema20 & slopes>0 & rsi>=45 & close>=ema20,no_shock,NBIS
BE,0.1914,hold,NORMAL,OK,-0.904,BUY,4,0.0,101.18,113.93,88.64,0.0726,63.65,neutral,15.03,97.79,96.46,0.514,0.022,103.79,47.23,0.846,101.73,88.7,ema10>ema20 & slopes>0 & rsi>=45 & close>=ema20,no_shock,BE
JEPQ,0.2192,hold,NORMAL,OK,0.561,BUY,4,0.0,58.41,57.73,57.22,0.0081,71.92,neutral,1.1426,58.26,57.92,0.139,0.113,57.71,54.59,0.452,58.77,57.05,ema10>ema20 & slopes>0 & rsi>=45 & close>=ema20,no_shock,JEPQ
MSFT,0.3085,hold,NORMAL,OK,-0.882,BUY,4,1.0,485.49,499.25,517.3,0.0178,71.58,neutral,11.84,483.66,481.36,0.192,0.016,510.92,467.58,0.801,490.65,466.9,ema10>ema20 & slopes>0 & rsi>=45 & close>=ema20,no_shock,MSFT
IREN,0.0767,hold,NORMAL,OK,-0.678,BUY,3,0.0,48.45,55.41,60.7,0.0206,49.8,oversold,6.0479,47.9,47.33,0.28,0.26,54.62,23.42,0.328,49.57,45.44,ema10>ema20 & slopes>0 & rsi>=45 & close>=ema20,no_shock,IREN
NVDA,0.2542,hold,NORMAL,OK,-1.119,HOLD,3,1.0,180.19,188.54,177.86,0.0137,45.27,neutral,9.02,179.7,179.66,0.103,-0.067,186.81,153.44,1.698,185.64,172.66,no clear edge; wait,no_shock,Nvidia
^VIX,0.4433,hold,NORMAL,OK,-0.923,HOLD,0,2.0,17.2,,,-0.0738,18.89,neutral,3.36,17.57,18.23,-0.698,-0.813,18.45,19.66,,19.5,16.73,no clear edge; wait,no_shock,恐怖指数（VIX）
