ticker,stress_v,shk_act,shk_F,shk_stat,zscore,signal,dahs_v,regime_v,close,vwap20,vp_poc,pct_1d,rsi,rsi_zone,atr14,ema10,ema20,slope10,slope20,sma50,sma200,rvol20,bb_2sigma_up,bb_2sigma_dn,reason,shk_R,name
^GSPC,0.3976,hold,NORMAL,OK,0.739,TAKE_PROFIT,5,,6811.76,,,0.0069,83.41,,,6798.35,6761.77,0.131,0.102,,,1.254,6860.33,6653.42,near +2sigma or rsi>=70 with vol,no_shock,SP500
SPY,0.3482,hold,NORMAL,OK,0.767,TAKE_PROFIT,5,1.0,679.63,670.59,671.5,0.0069,84.0,neutral,10.85,678.34,674.69,0.131,0.102,670.02,615.65,1.329,684.56,663.84,near +2sigma or rsi>=70 with vol,no_shock,SPY
1329.T,0.1913,hold,NORMAL,OK,-0.171,TAKE_PROFIT,5,,5221.0,,,0.0126,72.57,,,5162.83,5140.61,0.168,0.004,,,1.131,5224.63,5004.07,near +2sigma or rsi>=70 with vol,no_shock,日経225ETF
6339.T,0.217,hold,NORMAL,OK,1.238,TAKE_PROFIT,4,0.0,1035.0,1008.79,1004.35,0.0147,71.7,neutral,17.21,1019.94,1012.67,0.157,0.117,1020.44,908.27,0.557,1031.48,991.62,near +2sigma or rsi>=70 with vol,no_shock,新東工業
^N225,0.2544,hold,NORMAL,OK,-0.182,TAKE_PROFIT,4,,50178.5,,,0.0312,72.41,,,49633.87,49419.55,0.168,0.005,,,,50234.12,48097.62,near +2sigma or rsi>=70 with vol,no_shock,日経225先物
8316.T,0.3529,hold,NORMAL,OK,2.262,TAKE_PROFIT,4,0.0,4721.0,4311.92,4076.35,0.021,85.29,overbought,120.14,4622.67,4561.75,0.381,0.15,4170.34,3818.22,0.558,4732.63,4328.87,near +2sigma or rsi>=70 with vol,no_shock,三井住友F
1496.T,0.5,hold,NORMAL,OK,1.187,TAKE_PROFIT,4,,1762.0,,,0.0006,75.0,,,1758.96,1755.23,0.048,0.04,,,0.056,1767.24,1741.76,near +2sigma or rsi>=70 with vol,no_shock,USD投資適格社債ETF(H)
2866.T,0.3914,hold,NORMAL,OK,0.583,TAKE_PROFIT,4,,993.0,,,0.002,69.57,,,990.11,988.54,0.056,0.005,,,0.209,994.26,979.44,near +2sigma or rsi>=70 with vol,no_shock,GX米国優先証券
1489.T,0.56,hold,NORMAL,OK,1.791,TAKE_PROFIT,4,,2766.0,,,0.0047,78.0,,,2748.72,2732.9,0.163,0.083,,,0.156,2778.42,2675.88,near +2sigma or rsi>=70 with vol,no_shock,日経平均高配当ETF
5713.T,0.2176,hold,NORMAL,OK,0.549,TAKE_PROFIT,3,0.0,5043.0,4973.41,4941.9,0.0323,71.76,neutral,184.14,4922.21,4888.84,0.209,-0.01,4905.36,3787.68,0.466,5029.01,4660.09,near +2sigma or rsi>=70 with vol,no_shock,住友鉱山
4063.T,0.3297,hold,NORMAL,OK,1.09,BUY,4,0.0,4648.0,4561.91,4419.71,0.0067,82.97,neutral,76.71,4605.58,4568.51,0.265,0.109,4738.48,4540.27,0.468,4691.09,4411.01,ema10>ema20 & slopes>0 & rsi>=45 & close>=ema20,no_shock,信越化学
^DJI,0.8138,hold,NORMAL,OK,0.608,BUY,4,,47419.67,,,0.0067,90.69,,,47323.87,47074.94,0.138,0.087,,,0.912,47831.2,46152.74,ema10>ema20 & slopes>0 & rsi>=45 & close>=ema20,no_shock,ダウ平均指数
^NDX,0.409,hold,NORMAL,OK,0.18,BUY,4,,25234.05,,,0.0087,70.45,,,25163.28,25012.38,0.147,0.117,,,0.842,25401.43,24607.79,ema10>ema20 & slopes>0 & rsi>=45 & close>=ema20,no_shock,NASDAQ100
^IXIC,0.4442,hold,NORMAL,OK,0.296,BUY,4,,23211.97,,,0.0082,72.21,,,23148.73,23003.59,0.147,0.127,,,0.958,23368.97,22633.87,ema10>ema20 & slopes>0 & rsi>=45 & close>=ema20,no_shock,NASDAQ総合
^RUT,0.6118,hold,NORMAL,OK,1.249,BUY,4,,2486.92,,,0.0082,80.59,,,2479.72,2455.7,0.207,0.197,,,,2521.64,2386.44,ema10>ema20 & slopes>0 & rsi>=45 & close>=ema20,no_shock,Russell_2000
GLDM,0.2781,hold,NORMAL,OK,1.335,BUY,4,1.0,82.44,80.68,81.56,0.0078,67.81,neutral,1.3434,82.27,81.95,0.077,0.076,79.36,68.27,0.499,82.91,80.92,ema10>ema20 & slopes>0 & rsi>=45 & close>=ema20,no_shock,Gold
1540.T,0.2353,hold,NORMAL,OK,1.07,BUY,4,0.0,19915.0,19375.88,19410.94,0.003,73.53,neutral,401.07,19859.9,19780.76,0.09,0.062,19101.7,15543.98,0.756,20086.75,19402.75,ema10>ema20 & slopes>0 & rsi>=45 & close>=ema20,no_shock,純金上場信託（1540）
