ticker,signal,score,close,ema10,ema20,slope10,slope20,rsi,rvol20,bb_up,bb_dn,reason,name
^GSPC,TAKE_PROFIT,5,6811.7600,6798.3500,6761.7700,0.1310,0.1020,83.4100,1.2540,6860.3300,6653.4200,near +2sigma or rsi>=70 with vol,SP500
SPY,TAKE_PROFIT,5,679.6300,678.3400,674.6900,0.1310,0.1020,84.0000,1.3290,684.5600,663.8400,near +2sigma or rsi>=70 with vol,SPY
1329.T,TAKE_PROFIT,5,5221.0000,5162.8300,5140.6100,0.1680,0.0040,72.5700,1.1310,5224.6300,5004.0700,near +2sigma or rsi>=70 with vol,日経225ETF
6339.T,TAKE_PROFIT,4,1035.0000,1019.9400,1012.6700,0.1570,0.1170,71.7000,0.5570,1031.4800,991.6200,near +2sigma or rsi>=70 with vol,新東工業
^N225,TAKE_PROFIT,4,50178.5000,49633.8700,49419.5500,0.1680,0.0050,72.4100,,50234.1200,48097.6200,near +2sigma or rsi>=70 with vol,日経225先物
8316.T,TAKE_PROFIT,4,4721.0000,4622.6700,4561.7500,0.3810,0.1500,85.2900,0.5580,4732.6300,4328.8700,near +2sigma or rsi>=70 with vol,三井住友F
1496.T,TAKE_PROFIT,4,1762.0000,1758.9600,1755.2300,0.0480,0.0400,75.0000,0.0560,1767.2400,1741.7600,near +2sigma or rsi>=70 with vol,USD投資適格社債ETF(H)
2866.T,TAKE_PROFIT,4,993.0000,990.1100,988.5400,0.0560,0.0050,69.5700,0.2090,994.2600,979.4400,near +2sigma or rsi>=70 with vol,GX米国優先証券
1489.T,TAKE_PROFIT,4,2766.0000,2748.7200,2732.9000,0.1630,0.0830,78.0000,0.1560,2778.4200,2675.8800,near +2sigma or rsi>=70 with vol,日経平均高配当ETF
5713.T,TAKE_PROFIT,3,5043.0000,4922.2100,4888.8400,0.2090,-0.0100,71.7600,0.4660,5029.0100,4660.0900,near +2sigma or rsi>=70 with vol,住友鉱山
4063.T,BUY,4,4648.0000,4605.5800,4568.5100,0.2650,0.1090,82.9700,0.4680,4691.0900,4411.0100,ema10>ema20 & slopes>0 & rsi>=45 & close>=ema20,信越化学
^DJI,BUY,4,47419.6700,47323.8700,47074.9400,0.1380,0.0870,90.6900,0.9120,47831.2000,46152.7400,ema10>ema20 & slopes>0 & rsi>=45 & close>=ema20,ダウ平均指数
^NDX,BUY,4,25234.0500,25163.2800,25012.3800,0.1470,0.1170,70.4500,0.8420,25401.4300,24607.7900,ema10>ema20 & slopes>0 & rsi>=45 & close>=ema20,NASDAQ100
^IXIC,BUY,4,23211.9700,23148.7300,23003.5900,0.1470,0.1270,72.2100,0.9580,23368.9700,22633.8700,ema10>ema20 & slopes>0 & rsi>=45 & close>=ema20,NASDAQ総合
^RUT,BUY,4,2486.9200,2479.7200,2455.7000,0.2070,0.1970,80.5900,,2521.6400,2386.4400,ema10>ema20 & slopes>0 & rsi>=45 & close>=ema20,Russell_2000
GLDM,BUY,4,82.4400,82.2700,81.9500,0.0770,0.0760,67.8100,0.4990,82.9100,80.9200,ema10>ema20 & slopes>0 & rsi>=45 & close>=ema20,Gold
1540.T,BUY,4,19915.0000,19859.9000,19780.7600,0.0900,0.0620,73.5300,0.7560,20086.7500,19402.7500,ema10>ema20 & slopes>0 & rsi>=45 & close>=ema20,純金上場信託（1540）
2914.T,BUY,4,5917.0000,5850.3300,5812.7000,0.2250,0.0560,87.2200,0.7060,5954.6200,5626.8800,ema10>ema20 & slopes>0 & rsi>=45 & close>=ema20,JT
8058.T,BUY,4,3691.0000,3688.7800,3675.9100,0.1250,0.0510,66.9100,0.3760,3725.1100,3614.7900,ema10>ema20 & slopes>0 & rsi>=45 & close>=ema20,三菱商事
LITE,BUY,4,308.2600,301.5100,293.0800,0.5380,0.6590,58.2000,0.5910,311.7400,279.8400,ema10>ema20 & slopes>0 & rsi>=45 & close>=ema20,LITE
NBIS,BUY,4,94.6800,92.6200,91.3500,0.3610,0.2080,56.5400,0.5160,95.7400,86.5300,ema10>ema20 & slopes>0 & rsi>=45 & close>=ema20,NBIS
BE,BUY,4,101.1800,97.7900,96.4600,0.5140,0.0220,63.6500,0.8460,101.7300,88.7000,ema10>ema20 & slopes>0 & rsi>=45 & close>=ema20,BE
JEPQ,BUY,4,58.4100,58.2600,57.9200,0.1390,0.1130,71.9200,0.4520,58.7700,57.0500,ema10>ema20 & slopes>0 & rsi>=45 & close>=ema20,JEPQ
MSFT,BUY,4,485.4900,483.6600,481.3600,0.1920,0.0160,71.5800,0.8010,490.6500,466.9000,ema10>ema20 & slopes>0 & rsi>=45 & close>=ema20,MSFT
IREN,BUY,3,48.4500,47.9000,47.3300,0.2800,0.2600,49.8000,0.3280,49.5700,45.4400,ema10>ema20 & slopes>0 & rsi>=45 & close>=ema20,IREN
NVDA,HOLD,3,180.1900,179.7000,179.6600,0.1030,-0.0670,45.2700,1.6980,185.6400,172.6600,no clear edge; wait,Nvidia
^VIX,HOLD,0,17.2000,17.5700,18.2300,-0.6980,-0.8130,18.8900,,19.5000,16.7300,no clear edge; wait,恐怖指数（VIX）
