timestamp,regime,total_score,score_SPY,pct_SPY,score_QQQ,pct_QQQ,score_NVDA,pct_NVDA,score_MSFT,pct_MSFT,score_GLDM,pct_GLDM,score_^VIX,pct_^VIX,score_UUP,pct_UUP,score_^TNX,pct_^TNX,score_AMZN,pct_AMZN,score_JEPI,pct_JEPI,score_JEPQ,pct_JEPQ,score_IREN,pct_IREN,score_LITE,pct_LITE,score_NBIS,pct_NBIS,score_BE,pct_BE,score_1540.T,pct_1540.T,score_2914.T,pct_2914.T,score_8058.T,pct_8058.T,score_8316.T,pct_8316.T,score_6339.T,pct_6339.T,score_4063.T,pct_4063.T,score_5713.T,pct_5713.T,score_JPY=X,pct_JPY=X
241014_1600,RISK_ON,4,2,0.8178,2,0.8391,1,2.4258,2,0.6774,0,-0.114,0,-3.7146,-1,0.3122,-1,0.6138,0,-0.6779,0,0.4205,0,0.4192,0,10.21,0,1.4508,,,0,-2.6071,0,0.8891,0,-1.0536,0,-0.0843,0,1.4739,0,-0.9018,0,-1.0819,0,-0.318,-1,0.4237
241015_1600,RISK_ON,5,1,-0.777,1,-1.3367,1,-4.686,1,-0.0954,1,0.3614,0,4.7716,0,0.0692,1,-1.4641,0,0.08,0,-0.2345,0,-0.4538,0,2.3447,0,-3.8278,,,0,0.0,0,0.3357,0,-0.8565,0,-1.1987,0,1.5788,0,1.3145,0,0.0,0,0.2507,-1,0.225
241016_1600,RISK_ON,9,2,0.4346,2,0.0122,2,3.1307,1,-0.6257,1,0.4738,0,-5.1357,0,0.2764,1,-0.5448,0,-0.4262,0,0.3357,0,0.1276,0,7.102,0,3.3043,,,0,-0.478,0,0.9201,0,-0.5604,0,-1.0595,0,-0.5284,0,0.1996,0,-1.6814,0,-1.4549,0,-0.3815
241017_1600,RISK_ON,5,2,0.0086,2,0.0693,1,0.8915,1,0.1442,1,0.6225,0,-2.4004,-1,0.3101,-1,1.992,0,0.3424,0,0.1171,0,0.1457,0,-4.2781,0,1.2213,,,0,-2.4015,0,0.6631,0,0.5166,0,0.0173,0,1.3125,0,-1.1952,0,-1.3614,0,0.8535,0,0.3199
241018_1600,RISK_ON,6,2,0.3847,2,0.6555,1,0.7814,1,0.3456,0,1.0499,0,-5.6515,0,-0.2748,1,-0.5615,0,0.7785,0,0.1003,0,0.5092,0,6.0335,0,-4.8693,,,0,0.0,0,1.3174,0,-0.7241,0,-0.708,0,0.6477,0,0.6048,0,0.5218,0,-0.3888,-1,0.3503
241019_1600,RISK_ON,6,2,0.3847,2,0.6555,1,0.7814,1,0.3456,0,1.0499,0,-5.6515,0,-0.2748,1,-0.5615,0,0.7785,0,0.1003,0,0.5092,0,6.0335,0,-4.8693,,,0,0.0,0,1.3174,0,-0.7241,0,-0.708,0,0.6477,0,0.6048,0,0.5218,0,-0.3888,-1,0.3503
241020_1600,RISK_ON,6,2,0.3847,2,0.6555,1,0.7814,1,0.3456,0,1.0499,0,-5.6515,0,-0.2748,1,-0.5615,0,0.7785,0,0.1003,0,0.5092,0,6.0335,0,-4.8693,,,0,0.0,0,1.3174,0,-0.7241,0,-0.708,0,0.6477,0,0.6048,0,0.5218,0,-0.3888,-1,0.3503
241021_1600,NEUTRAL,2,1,-0.1642,2,0.1921,1,4.1377,1,0.1483,0,0.0,0,1.8857,-1,0.4478,-1,2.6762,0,0.0423,0,-0.4174,0,0.1628,0,1.3699,0,-1.0116,,,0,-2.8543,0,0.1625,0,-3.6706,0,-1.2174,0,-1.8694,0,0.501,0,-0.6196,0,1.5844,-1,-0.3331
241022_1600,NEUTRAL,1,1,-0.0531,2,0.109,0,-0.0835,1,2.0846,0,1.0575,0,-0.9254,0,0.1029,-1,0.5261,0,0.3332,0,-0.0838,0,0.1264,0,-3.5343,0,1.4948,0.0,-6.35,0,-1.4184,0,1.2576,0,-0.1221,0,-0.8275,0,-1.3117,0,-2.2931,0,-1.1289,0,-2.4186,-2,0.6718
241023_1600,NEUTRAL,-2,1,-0.9137,1,-1.5324,0,-2.8066,1,-0.6807,0,-1.1933,-2,5.7143,-1,0.3426,-1,0.9039,0,-2.6305,0,-0.1174,0,-0.9201,0,-6.4655,0,-1.3225,0.0,-8.3823,0,-7.0915,0,1.6426,0,1.0027,0,-0.4083,0,-1.1392,0,0.0,0,-1.1077,0,0.8802,-1,0.3539
