ticker,name,action,shock_flag,status,zscore,shock_reason,close,ma20,std,rsi14,pct_1d,atr14
4063.T,信越化学,hold,NORMAL,OK,1.09,no_shock,4648.0,4567.6,73.74,62.1,0.0067,86.456
5713.T,住友鉱山,hold,NORMAL,OK,0.549,no_shock,5043.0,4968.9,135.09,53.7,0.0323,185.563
6339.T,新東工業,hold,NORMAL,OK,1.238,no_shock,1035.0,1005.9,23.55,56.9,0.0147,18.948
^N225,日経225先物,hold,NORMAL,OK,-0.182,no_shock,50178.5,50373.1,1071.65,49.8,0.0312,1061.212
^VIX,恐怖指数（VIX）,hold,NORMAL,OK,-0.923,no_shock,17.2,19.8,2.84,45.0,-0.0738,3.085
^DJI,ダウ平均指数,hold,NORMAL,OK,0.608,no_shock,47427.1,47034.0,647.03,54.6,0.0067,602.539
^GSPC,SP500,hold,NORMAL,OK,0.739,no_shock,6812.6,6744.5,92.2,56.0,0.0069,97.194
SPY,SPY,hold,NORMAL,OK,0.767,no_shock,679.7,672.7,9.07,56.2,0.0069,9.697
^NDX,NASDAQ100,hold,NORMAL,OK,0.18,no_shock,25236.9,25142.1,528.22,51.5,0.0087,494.921
^IXIC,NASDAQ総合,hold,NORMAL,OK,0.296,no_shock,23214.7,23069.5,490.18,52.3,0.0082,465.209
^RUT,Russell_2000,hold,NORMAL,OK,1.249,no_shock,2486.1,2418.8,53.92,58.4,0.0082,49.011
GLDM,Gold,hold,NORMAL,OK,1.335,no_shock,82.4,80.6,1.4,67.9,0.0078,1.352
1540.T,純金上場信託（1540）,hold,NORMAL,OK,1.07,no_shock,19915.0,19397.2,483.82,62.3,0.003,547.073
2914.T,JT,hold,NORMAL,OK,1.345,no_shock,5917.0,5554.0,269.85,83.3,0.012,97.804
8058.T,三菱商事,hold,NORMAL,OK,0.701,no_shock,3691.0,3655.6,50.5,55.4,0.0019,74.786
8316.T,三井住友F,hold,NORMAL,OK,2.262,no_shock,4721.0,4310.9,181.34,77.6,0.021,113.454
1496.T,USD投資適格社債ETF(H),hold,NORMAL,OK,1.187,no_shock,1762.0,1750.2,9.95,67.3,0.0006,7.026
2866.T,GX米国優先証券,hold,NORMAL,OK,0.583,no_shock,993.0,989.0,6.78,51.5,0.002,8.709
1329.T,日経225ETF,hold,NORMAL,OK,-0.171,no_shock,5221.0,5240.2,112.25,46.0,0.0126,106.605
1489.T,日経平均高配当ETF,hold,NORMAL,OK,1.791,no_shock,2766.0,2657.0,60.85,77.8,0.0047,36.814
LITE,LITE,hold,NORMAL,OK,1.985,no_shock,308.3,243.7,32.55,65.3,0.0584,24.245
IREN,IREN,hold,NORMAL,OK,-0.678,no_shock,48.5,55.0,9.63,25.6,0.0206,6.288
NBIS,NBIS,hold,NORMAL,OK,-0.419,no_shock,94.7,100.9,14.75,39.5,0.0654,9.865
BE,BE,hold,NORMAL,OK,-0.904,no_shock,101.1,117.4,18.03,30.8,0.0726,13.751
JEPQ,JEPQ,hold,NORMAL,OK,0.561,no_shock,58.4,57.9,0.91,54.0,0.0081,0.944
NVDA,Nvidia,hold,NORMAL,OK,-1.119,no_shock,180.3,190.0,8.71,43.5,0.0137,8.337
MSFT,MSFT,hold,NORMAL,OK,-0.882,no_shock,485.5,499.5,15.91,42.8,0.0178,11.338
